FirstName,MiddleName,LastName,Suffix,Birthdate,City,Sex,Contact Number
FPJ,Poe,Jr,Jr,20/08/1939,Manila,M,9448901229
Dolphy,Q,Vera,,25/07/1928,Manila,M,9459012330
Eduardo,V,Manalo,,31/10/1955,Quezon City,M,9471234532
Mike,V,El Shaddai,,20/08/1939,Manila,M,9482345633
Francis,L,Tolentino,,03/10/1971,Manila,M,9504567835
Rajo,R,Laurel,,19/05/1971,Manila,M,9515678936
Monique,L,Arnault,,15/09/1971,Cebu,F,9526789037
Michael,C,Sy,,27/08/1978,Dubai,M,9537890138
Oliver,T,Cruz,,20/11/1971,Bataan,M,9548901239
Kermit,T,Ramos,,01/01/1984,Manila,M,9559012340
Ezra,S,Santos,,06/06/1986,Manila,M,9560123441
Patty,A,Uy,,08/08/1988,Manila,F,9571234542
Vania,R,Yap,,09/09/1989,Cebu,F,9582345643
Mark,B,Go,,10/10/1990,USA,M,9593456744
Rosenthal,T,Chua,,12/12/1992,Manila,F,9604567845
Cheetah,R,Lee,,13/01/1993,Manila,F,9615678946
Jot,L,Sy,,14/02/1994,Manila,M,9626789047
Proudrace,L,Santos,,16/04/1996,Manila,M,9648901249
Renz,P,Pangilinan,,17/05/1997,Manila,M,9659012350
Pedro,Penduko,Rizal,,01/01/1991,Makati,M,9171234503
Juana,Arc,Gomez,,14/02/1993,Cebu,F,9182345604
Andrea,Bonifacio,Castro,,30/11/1989,Quezon City,F,9193456705
Gabriel,Silang,Reyes,,19/03/1986,Vigan,M,9204567806
Emiliana,Aguinaldo,Tan,,22/03/1981,Kawit,F,9215678907
Tereso,Magbanua,Lopez,,13/10/1990,Pototan,M,9226789008
Gregoria,Del Pilar,Santos,,14/11/1988,Bulacan,F,9237890109
Melchor,Aquino,Villanueva,,06/01/1983,Caloocan,M,9248901210
Apolinaria,Mabini,Cruz,,23/07/1985,Tanauan,F,9259012311
Lipa,,Mactan,,27/04/1972,Cebu,F,9260123412
Antonia,Luna,Perez,,29/10/1987,Manila,F,9271234513
Jose,Llanes Escoda,Bautista,,20/09/1989,Dingras,M,9282345614
Vicenta,Lim,Sison,,21/05/1984,Calamba,F,9293456715
Clara,Recto,Mercado,,08/02/1982,Tiaong,F,9304567816
Cory,Aquino,Cojuangco,,25/01/1933,Paniqui,F,9315678917
Ninoy,Aquino,Jr,Jr,27/11/1932,Concepcion,M,9326789018
Ferdie,Marcos,Edralin,Sr,11/09/1917,Sarrat,M,9337890119
Meldy,Marcos,Romualdez,,02/07/1929,Manila,F,9348901219
Digong,Duterte,Roa,,28/03/1945,Maasin,M,9359012321
Pacman,Pacquiao,Dapidran,,17/12/1978,Kibawe,M,9371234523
Queen P,Wurtzbach,Alonzo,,24/09/1989,Cagayan de Oro,F,9382345624
Queen C,Gray,Elisa,,06/01/1994,Oas,F,9393456725
Coach Lea,Salonga,Chien,,22/02/1971,Manila,F,9404567826
Superstar,Aunor,Villamayor,,21/05/1953,Iriga,F,9415678927
Star for All Seasons,Santos,Recto,,03/11/1953,Manila,F,9426789028
Megastar,Cuneta,Pangilinan,,06/01/1966,Pasay,F,9437890129
Da King,Poe,Jr,Jr,20/08/1939,Manila,M,9448901230
Comedy King,Quizon,Vera,,25/07/1928,Manila,M,9459012331
Appointed Son of God,Quiboloy,Carreon,,25/04/1950,Davao,M,9460123432
EVM,Manalo,Villanueva,,31/10/1955,Quezon City,M,9471234533
Brother Mike,Velarde,El Shaddai,,20/08/1939,Manila,M,9482345634
Brother Bo,Sanchez,Lighthouse,,11/07/1966,Quezon City,M,9493456734
Francis,L,Tolentino,,03/10/1971,Manila,M,9504567836
Rajo,R,Laurel,,19/05/1971,Manila,M,9515678937
Monique,L,Arnault,,15/09/1971,Cebu,F,9526789038
Michael,C,Sy,,27/08/1978,Dubai,M,9537890139
Oliver,T,Cruz,,20/11/1971,Bataan,M,9548901240
Kermit,T,Ramos,,01/01/1984,Manila,M,9559012341
Ezra,S,Santos,,06/06/1986,Manila,M,9560123442
Patty,A,Uy,,08/08/1988,Manila,F,9571234543
Vania,R,Yap,,09/09/1989,Cebu,F,9582345644
Mark,B,Go,,10/10/1990,USA,M,9593456745
Rosenthal,T,Chua,,12/12/1992,Manila,F,9604567846
Cheetah,R,Lee,,13/01/1993,Manila,F,9615678947
Jot,L,Sy,,14/02/1994,Manila,M,9626789048
Proudrace,L,Santos,,16/04/1996,Manila,M,9648901250
Renz,P,Pangilinan,,17/05/1997,Manila,M,9659012351
Juan,Dela Cruz,Santos,III,01/01/1990,Manila,M,9171234504
Maria,Clara,Gomez,II,14/02/1992,Cebu,F,9182345605
Andres,Bonifacio,Castro,,30/11/1988,Quezon City,M,9193456706
Gabriela,Silang,Reyes,,19/03/1985,Vigan,F,9204567807
Emilio,Aguinaldo,Tan,,22/03/1980,Kawit,M,9215678908
Teresa,Magbanua,Lopez,,13/10/1989,Pototan,F,9226789009
Gregorio,Del Pilar,Santos,,14/11/1987,Bulacan,M,9237890110
Melchora,Aquino,Villanueva,,06/01/1982,Caloocan,F,9248901211
Apolinario,Mabini,Cruz,,23/07/1984,Tanauan,M,9259012312
Lapu-Lapu,,Mactan,,27/04/1971,Cebu,M,9260123413
Antonio,Luna,Perez,,29/10/1986,Manila,M,9271234514
Josefa,Llanes Escoda,Bautista,,20/09/1988,Dingras,F,9282345615
Vicente,Lim,Sison,,21/05/1983,Calamba,M,9293456716
Claro,Recto,Mercado,,08/02/1981,Tiaong,M,9304567817
Corazon,Aquino,Cojuangco,,25/01/1933,Paniqui,F,9315678918
Benigno,Aquino,Jr,Jr,27/11/1932,Concepcion,M,9326789019
Ferdinand,Marcos,Edralin,Sr,11/09/1917,Sarrat,M,9337890120
Imelda,Marcos,Romualdez,,02/07/1929,Manila,F,9348901220
Rodrigo,Duterte,Roa,,28/03/1945,Maasin,M,9359012322
Leni,Robredo,Gerona,,23/04/1965,Naga,F,9360123422
Manny,Pacquiao,Dapidran,,17/12/1978,Kibawe,M,9371234524
Pia,Wurtzbach,Alonzo,,24/09/1989,Cagayan de Oro,F,9382345625
Catriona,Gray,Elisa,,06/01/1994,Oas,F,9393456726
Lea,Salonga,Chien,,22/02/1971,Manila,F,9404567827
Nora,Aunor,Villamayor,,21/05/1953,Iriga,F,9415678928
Vilma,Santos,Recto,,03/11/1953,Manila,F,9426789029
Sharon,Cuneta,Pangilinan,,06/01/1966,Pasay,F,9437890130
Fernando,Poe,Jr,Jr,20/08/1939,Manila,M,9448901231
Dolphy,Quizon,Vera,,25/07/1928,Manila,M,9459012332
Apollo,Quiboloy,Carreon,,25/04/1950,Davao,M,9460123433
Eduardo,Manalo,Villanueva,,31/10/1955,Quezon City,M,9471234534
Mike,Velarde,El Shaddai,,20/08/1939,Manila,M,9482345635
Bo,Sanchez,Lighthouse,,11/07/1966,Quezon City,M,9493456735
Francis,Libiran,Tolentino,,03/10/1971,Manila,M,9504567837
Rajo,Laurel,Roxas,,19/05/1971,Manila,M,9515678938
Monique,Lhuillier,Arnault,,15/09/1971,Cebu,F,9526789039
Michael,Cinco,Sy,,27/08/1978,Dubai,M,9537890140
Oliver,Tolentino,Cruz,,20/11/1971,Bataan,M,9548901241
Kermit,Tesoro,Ramos,,01/01/1984,Manila,M,9559012342
Ezra,Santos,Santos,,06/06/1986,Manila,M,9560123443
Patty,Ang,Uy,,08/08/1988,Manila,F,9571234544
Vania,Romoff,Yap,,09/09/1989,Cebu,F,9582345645
Mark,Bumgarner,Go,,10/10/1990,USA,M,9593456746
Rosenthal,Tee,Chua,,12/12/1992,Manila,F,9604567847
Cheetah,Rivera,Lee,,13/01/1993,Manila,F,9615678948
Jot,Losa,Sy,,14/02/1994,Manila,M,9626789049
Proudrace,Lahos,Santos,,16/04/1996,Manila,M,9648901251
Renz,Pangilinan,Reyes,,17/05/1997,Manila,M,9659012352
Juan,Dela Cruz,Santos,II,01/01/1990,Manila,M,9171234505
Maria,Clara,Gomez,Sr,14/02/1992,Cebu,F,9182345606
Andres,Bonifacio,Castro,,30/11/1988,Quezon City,M,9193456707
Gabriela,Silang,Reyes,,19/03/1985,Vigan,F,9204567808
Emilio,Aguinaldo,Tan,,22/03/1980,Kawit,M,9215678909
Teresa,Magbanua,Lopez,,13/10/1989,Pototan,F,9226789010
Gregorio,Del Pilar,Santos,,14/11/1987,Bulacan,M,9237890111
Melchora,Aquino,Villanueva,,06/01/1982,Caloocan,F,9248901212
Apolinario,Mabini,Cruz,,23/07/1984,Tanauan,M,9259012313
Lapu-Lapu,,Mactan,,27/04/1971,Cebu,M,9260123414
Antonio,Luna,Perez,,29/10/1986,Manila,M,9271234515
Josefa,Llanes Escoda,Bautista,,20/09/1988,Dingras,F,9282345616
Vicente,Lim,Sison,,21/05/1983,Calamba,M,9293456717
Claro,Recto,Mercado,,08/02/1981,Tiaong,M,9304567818
Corazon,Aquino,Cojuangco,,25/01/1933,Paniqui,F,9315678919
Benigno,Aquino,Jr,Jr,27/11/1932,Concepcion,M,9326789020
Ferdinand,Marcos,Edralin,Sr,11/09/1917,Sarrat,M,9337890121
Imelda,Marcos,Romualdez,,02/07/1929,Manila,F,9348901221
Rodrigo,Duterte,Roa,,28/03/1945,Maasin,M,9359012323
Leni,Robredo,Gerona,,23/04/1965,Naga,F,9360123423
Manny,Pacquiao,Dapidran,,17/12/1978,Kibawe,M,9371234525
Pia,Wurtzbach,Alonzo,,24/09/1989,Cagayan de Oro,F,9382345626
Catriona,Gray,Elisa,,06/01/1994,Oas,F,9393456727
Lea,Salonga,Chien,,22/02/1971,Manila,F,9404567828
Nora,Aunor,Villamayor,,21/05/1953,Iriga,F,9415678929
Vilma,Santos,Recto,,03/11/1953,Manila,F,9426789030
Sharon,Cuneta,Pangilinan,,06/01/1966,Pasay,F,9437890131
Fernando,Poe,Jr,Jr,20/08/1939,Manila,M,9448901232
Dolphy,Quizon,Vera,,25/07/1928,Manila,M,9459012333
Apollo,Quiboloy,Carreon,,25/04/1950,Davao,M,9460123434
Eduardo,Manalo,Villanueva,,31/10/1955,Quezon City,M,9471234535
Mike,Velarde,El Shaddai,,20/08/1939,Manila,M,9482345636
Bo,Sanchez,Lighthouse,,11/07/1966,Quezon City,M,9493456736
Francis,Libiran,Tolentino,,03/10/1971,Manila,M,9504567838
Rajo,Laurel,Roxas,,19/05/1971,Manila,M,9515678939
Monique,Lhuillier,Arnault,,15/09/1971,Cebu,F,9526789040
Michael,Cinco,Sy,,27/08/1978,Dubai,M,9537890141
Oliver,Tolentino,Cruz,,20/11/1971,Bataan,M,9548901242
Kermit,Tesoro,Ramos,,01/01/1984,Manila,M,9559012343
Ezra,Santos,Santos,,06/06/1986,Manila,M,9560123444
Patty,Ang,Uy,,08/08/1988,Manila,F,9571234545
Vania,Romoff,Yap,,09/09/1989,Cebu,F,9582345646
Mark,Bumgarner,Go,,10/10/1990,USA,M,9593456747
Rosenthal,Tee,Chua,,12/12/1992,Manila,F,9604567848
Cheetah,Rivera,Lee,,13/01/1993,Manila,F,9615678949
Jot,Losa,Sy,,14/02/1994,Manila,M,9626789050
Proudrace,Lahos,Santos,,16/04/1996,Manila,M,9648901252
Renz,Pangilinan,Reyes,,17/05/1997,Manila,M,9659012353
Juan,Dela Cruz,Santos,Jr,02/01/1990,Manila,M,9171234506
Maria,Clara,Gomez,,15/02/1992,Cebu,F,9182345607
Andres,Bonifacio,Castro,,01/12/1988,Quezon City,M,9193456708
Ferdinand,Erondo,Marcos,,,Calapan City,M,9661806967
Teresita,Delos Santos,Lopez,,05/01/1965,Bansud,F,9813353527
Antonio,Salamat,Perez,,20/07/1978,Pinamalayan,M,
Russel,Zapata,Sosa,,12/05/2005,Pinamalayan,M,9384421255
Russel,Zapata,Sosa,,12/05/2005,Pinamalayan,M,9938691920
